Date,BMY,HSIC,HRB,GE,INCY
2017/10/5,59.15264511,63.98431396,22.25789452,22.48420715,113.5699997
2017/10/6,60.089077,63.5215683,22.42023087,22.34677315,114.6999969
2017/10/9,59.47715759,62.82352829,22.87115669,21.46719551,113.9899979
2017/10/10,60.38576126,62.65882492,23.18681145,21.40305901,114.7699966
2017/10/11,60.36722946,63.27058792,23.09662437,21.13735199,111.6200027
2017/10/12,60.58974838,63.14509964,23.22288704,21.11902618,112.7300034
2017/10/13,60.53411484,63.47451019,22.72686005,21.05489159,114.3099976
2017/10/16,59.01358032,64.24313354,22.84410286,21.40305901,116.59999850000001
2017/10/17,59.50497818,64.66666412,22.40219498,21.24729919,115.6399994
2017/10/18,59.05993652,64.54117584,22.58256531,21.18316269,115.1399994
2017/10/19,59.95928192,65.16862488,23.04251289,21.6046257,114.2699966
2017/10/20,59.72748566,66.29804229999999,23.19582748,21.83368683,114.1900024
2017/10/23,59.1062851,64.98039246,23.67381668,20.45018196,113.4800034
2017/10/24,59.01358032,65.07450867,23.81811333,20.05620193,114.04000090000001
2017/10/25,59.33807755,65.01960754,23.39423752,19.69887543,114.5500031
2017/10/26,56.51024628,63.89804077,23.90829659,19.53395653,115.5599976
2017/10/27,55.57381821,60.03921509,23.69185448,19.04835892,116.2699966
2017/10/30,56.40826416,60.94117737,22.81704712,18.70018768,114.2399979
2017/10/31,57.16853714,61.64706039,22.3120079,18.47113419,113.25
2017/11/1,57.63211441,60.58039093,22.08654404,18.34286118,107.95999909999999
2017/11/2,57.69701004,59.84313583,21.51836967,18.26956177,106.5100021
2017/11/3,57.68774414,60.89411926,21.69874191,18.45281219,105.08000179999999
2017/11/6,57.18708038,54.93333435,21.95126534,18.44364738,105.4300003
2017/11/7,57.40032578,55.69411850000001,21.66267014,18.51694298,108.1399994
2017/11/8,58.02151489,54.90196228,22.77195549,18.43448257,104.9800034
2017/11/9,57.47449493,54.63529587,22.90723419,18.31537056,102.9899979
2017/11/10,56.42681503,52.58823395,22.61863708,18.77348709,104.7600021
2017/11/13,56.54734039,52.15686417,23.40325737,17.42663574,107.20999909999999
2017/11/14,56.78839874,52.42353058,23.32208633,16.40045738,105.1200027
2017/11/15,56.62150955,53.30980301,22.76293564,16.7303009,105.2399979
2017/11/16,57.36323929,54.51764679,23.34012604,16.72113991,106.4800034
2017/11/17,56.85329819,54.21176529,23.52951813,16.6844902,105.47000120000001
2017/11/20,56.37117386,52.94117737,23.34012604,16.4737587,98.94999695
2017/11/21,56.77912903,53.30980301,23.06956863,16.33632469,98.94999695
2017/11/22,56.686409,54.86274338,23.3130703,16.6295166,99.0
2017/11/24,56.95528793,54.87843323,23.14171791,16.66616631,98.77999878
2017/11/27,57.12217712,54.81568527,22.98840141,16.60202789,97.86000061
2017/11/28,57.96589279,55.29411697,23.04251289,16.86773491,95.83000183
2017/11/29,58.31820297,55.13725662,23.33111,16.93186951,95.95999908
2017/11/30,58.58707809,56.03921509,23.61068344,16.757787699999998,98.98999786
2017/12/1,58.63344574,55.41960907,23.53786659,16.382137300000004,97.94000244
2017/12/4,57.91952515,55.85097885,23.89284897,16.4462738,93.68000031
2017/12/5,57.50230789,55.76470566,23.92925644,16.27218628,93.70999908
2017/12/6,56.52879715,53.00392151,26.38680458,16.29507256,93.79000092
2017/12/7,57.33542633,52.99607849,24.93047905,16.3412075,94.83000183
2017/12/8,57.87316895,53.25490189,24.7757473,16.3412075,96.58000183
2017/12/11,58.42946625,53.58431244,25.03060532,16.2858448,97.25
2017/12/12,58.67052460000001,53.18431473,25.06701279,16.5257473,95.40000153
2017/12/13,58.8466835,53.88235474,24.8576622,16.38734436,98.09999847
2017/12/14,57.60429382,53.874507900000005,24.47537613,16.27661514,95.97000122
2017/12/15,57.86389923,55.02745056,24.75754166,16.44270515,96.41000366
2017/12/18,57.85463333,55.02745056,25.21264267,16.38734436,93.55999756
2017/12/19,57.07581711,56.07058716,25.1489296,16.23048019,95.01999664
2017/12/20,56.74204254,55.76470566,25.34917259,16.1013031,94.02999878
2017/12/21,57.02018738,55.81176376,24.30244064,16.119756699999996,96.36000061
2017/12/22,56.51952362,55.69411850000001,23.87464523,16.14743805,95.80999756
2017/12/26,56.79766846,55.388237,23.71990967,16.19836617,95.40000153
2017/12/27,57.18708038,55.2627449,24.07488823,16.15189552,96.51000214
2017/12/28,57.27051544,55.34117508,24.18411446,16.13331413,95.37999725
2017/12/29,56.81621552,54.80784225,23.86554146,16.21695137,94.70999908
2018/1/2,56.84402847,56.05490112,24.35705185,16.70950127,100.88999940000001
2018/1/3,56.89038467,56.58039093,24.2569294,16.86749077,100.98000340000002
2018/1/4,57.62763977,56.611763,24.22962379,17.22064209,98.44000244
2018/1/5,57.75830078,57.51372528,24.38435745,17.22993469,99.84999847
2018/1/8,57.77696228,58.30588149999999,23.94745827,16.98830605,100.80999759999999
2018/1/9,57.72096252,57.60784149,24.06578636,17.24851799,96.29000092
2018/1/10,57.87028503,57.090194700000005,23.63799286,17.59237289,96.62000275
2018/1/11,58.29957962,57.49019623,23.73811531,17.67601395,93.05999756
2018/1/12,58.61688614,58.69804001,23.99296951,17.4343853,94.06999969
2018/1/16,55.91981506,59.63921738,24.23872375,16.92324829,91.65000153
2018/1/17,57.72096252,59.88235474,24.10219383,16.12401772,90.30999756
2018/1/18,57.70230484,58.52548981,24.14770699,15.58500576,91.91999817
2018/1/19,58.12226105,59.57646942,23.92015266,15.11103916,93.16000366
2018/1/22,59.05551147,59.92941284,24.10219383,15.02740097,94.08000183
2018/1/23,59.19548798,59.84313583,25.05791092,15.69652367,94.62999725
2018/1/24,59.50345612,60.71372604,24.72113419,15.27832222,95.33999634
2018/1/25,59.27947998,61.28627396,24.41166496,15.03669262,94.26000214
2018/1/26,59.96075439,61.90588379,24.32064247,14.99022484,95.51000214
2018/1/29,60.128738399999996,62.28235245,24.42076683,15.12962627,93.54000092
2018/1/30,59.69011688,61.23137283,24.06578636,14.82294559,92.5
2018/1/31,58.42089844,59.35686111,24.15680695,15.02740097,90.29000092
2018/2/1,58.60754776,59.043136600000004,23.80182648,14.88799667,89.66999817
2018/2/2,59.24215317,58.31372452,23.17378616,14.53485012,85.91999817
2018/2/5,56.89038467,56.31372452,22.272686,13.85643291,85.33999634
2018/2/6,56.83438873,57.67058945,22.90983009,14.19099617,88.11000061
2018/2/7,58.44889832,57.23137283,23.42864418,14.1724081,86.33999634
2018/2/8,58.50488663,55.5686264,22.92803192,13.42893887,83.91999817
2018/2/9,58.51422501,56.27450943,22.68227768,13.88431454,84.5
2018/2/12,58.94351196,56.611763,22.87341881,13.77279377,87.51999664
2018/2/13,59.60611343,52.85490036,23.58337784,13.63339233,88.02999878
2018/2/14,60.98731232,53.67058945,24.52089119,13.84713936,88.16999817
2018/2/15,64.37498474,53.63137436,25.08521461,13.80067253,85.58999634
2018/2/16,64.35631561,54.52548981,25.52211571,13.98654079,86.02999878
2018/2/20,62.85380173,53.30980301,24.73023415,13.69844532,85.51000214
2018/2/21,62.08853149,53.86666489,24.03848076,13.46611309,84.70999908
2018/2/22,61.53792953,53.30980301,23.80182648,13.58692551,85.19000244
2018/2/23,63.41373825,53.37254715,24.41166496,13.58205318,87.80000305
